@relation Twitter

@attribute sentiment {pos,neg}
@attribute text string

@data
pos,'anyone feel motivated the fri afternoon prior to a holiday? wanted to get lots done... but i want jammies and judge judy... \"SIR!\" &lt;3 her '
pos,'seriously, do you have to rub it in maggie!!!!  '
pos,'if i\'m not wrong.. Alt is when image can\'t be displayed.. Tooltip is the \'title\' '
pos,'I don\'t like social karma  much. Would rather skip it, but can\'t afford to piss my friend off any more '
pos,'I\'d be happy to review the Iomega if EMC send me one!!! '
pos,'Something  I have wanted to make for a while now... finally done   URL'
pos,'you\'re so sweet!  proving me right again...  the Dutch are the Best!   '
pos,'Look for us on the back of your Pepsi can! Our Pepsi can offer hit\nstores today! Can\'t wait to see one '
pos,'well rob i have to admit that you have to admit that you feel cool for being on twitter and listening to me '
pos,'big skype call at 1010! msg me if you want in '
pos,'well don\'t let it happen again '
pos,'thanks for following me and welcome to my world! '
pos,'season 3... all of it.. al is looking for season 4... i can\'t believe he didn\'t prepare... '
pos,'Yikes, it\'s windy here today; up to 50 mph NOAA says. Good thing electrician taught me generator drill yesterday; feeling, uh, empowered. '
pos,'URL - Well, my fave bar DID give me a blue moon to-go. '
pos,'Makes at least two of us.  '
pos,'that \'slang\' doesn\'t really work for you '
pos,'yes i did THANK YOU! '
pos,'- Rugby is my dog   Although I much prefer union to league....'
pos,'it\'s a pleasure using my blackberry bold in a free wifi environment, bypassing 3g and vodafone\'s tariffs entirely - also, very quick!  '
pos,'i\'ll give you a dollar and a pot brownie if you do it for me '
pos,'Here\'s to the Birthday Boy who saved our lives...Happy Christmas Eve!!! Love you \nxoxo&lt;3'
pos,'n78 very nice'
pos,'I appreciate your concern and advice. '
pos,'it just seemed a bit viscious that\'s all, &ur right, its not about how many followers. As long as they\'re happy '
pos,'my previous link is NSFW -  coz it can get every coworker of urs ROFL -ing at ur desk )'
pos,'Headline re-writing contestprize=link&credit in post) How to find in-person help with your business - Better ideas?'
pos,'yep, been there plenty of times. I prefer St. Pete Beach by the Don Cesar. No comment on the girls thing... I\'m married. '
pos,'RAN OUT OF TIME&gt;&gt;&gt;&gt;&gt;  Brandon talked too long. guess you\'ll have to watch next weekend! '
pos,'OMG Twilight... My list of obsessions grows bigger by degrees '
pos,'I\'m trying to reteach myself French, isn\'t it a beautiful language?! '
pos,'that\'s a very red avatar you have there '
pos,'My Twitemperature is a warm 77°F (25°C)! URL    its getting better  '
pos,'hi Nikki! How are you spending the day before Xmas? '
pos,'Please Digg VentureBeat\'s article about gamerDNA\'s Discovery Engine!   URL   (Thanks!  )'
pos,'do you have a friend named radiohead? '
pos,'I\'m in Chicago, finding good food in general can be hit or miss '
pos,'lol  ...it may be Google\'s Behaviour targeting :P'
pos,'Have a great trip!  Safe travels and happy holidays '
pos,'need a smile?   this is perhaps the most PRECIOUS video ever: URL'
pos,'Been excited about SXSW since passes went on sale '
pos,'thx for a such warm \"Thanx\". )'
pos,'Welcome Mama! one more month to go and then all smiles!!! Please share your pearls of wisdom '
pos,'Thank you! BTW, your shop name always makes me smile'
pos,'I am trying to get through this day but the crazy people are extra crazy \n-Britt'
pos,'new life  owen is z\'n naam, life is beautiful... zelfs na moeilijke periodes glijk laatste maanden'
pos,'Thank you! Happy New year to you, too '
pos,'Wow, 6-weeks huh? Amazing '
pos,'Thank you!!! '
pos,'ok, uploading files to server for asst. producers to grab. Get to work! well... maybe tomorrow? (I mean later today?) '
pos,'Tune into me right now on 106.1 WBLI-FM or log onto wbli.com   xoxoxo The Beautiful Stranger'
pos,'Oh how i missed johnny\'s '
pos,'Question: What\'s the best automatic ping site? Looking for your thoughts '
pos,'conor oberst, you never fail to cheer me up '
pos,'Going to sleep, happy and content after my Pushing Daisies weekly dose. '
pos,'Yaaaaay Dad. Man everyone\'s going to want him. He did sound impressed with the other job...who knows. His choices are endless heh '
pos,'i call dibs on holding gideon USER 715'
pos,'No but I did see The Lady from Shanghai..,  gotta love Orson Welles and Rita Hayworth!'
pos,'great job Merry Christmas'
pos,'Received my copy of CineFx today.  I almost look forward to it more than my PB mags.  '
pos,'Just walked by 2 people and 1 said...\"yup, I was sitting on a solar cell.\" I love conversations out of context : )'
pos,'glad that I could help with that '
pos,'He gets lots of treats, believe me! Every time he goes outside & comes in I give him a treat. Every time I eat he gets a treat. '
pos,'When in August. I have travel plans that month as well, but mine are flexible. Let me know.  YAY! :D Of course I\'m serious!'
pos,'Hm telefoontje van Agis.. Of mijn polisblad was aangekomen en of het duidelijk genoeg was... Dat verwacht je dan weer niet '
pos,'Oh, I need to find mine. I had to scrap my window with my Costco Card yesterday LOL'
pos,'mas to tam '
pos,'USER - that\'s a matter of opinion Mark '
pos,'Stuff should just work!!! Where\'s the nearest can of Red Bull, I need a caffeine rush if I\'m going to sort this jobby out! '
pos,'Clearly you hate me '
pos,'good morning to you and good night to me '
pos,'You could never be boring Jacs...even with plain coffee. '
pos,'spent the night dl\'ing bridal checklists. the organizer in me is lovin\' this '
pos,'kanye west is starting to look like son-of-cameo. YES! i finally got my yearly cameo reference in and just under the wire, i might add '
pos,'uploading video to youtube, shudnt be long '
pos,'I\'m a leaner  haven\'t been on my borad for months...'
pos,'ok, thats me done. kidlets need lullabies and snuggles and cuddles. i need some docos and knitting time'
pos,'I thought Seattle is very multi cultural but I have never seen it full of white . If it is a bad joke, blame it on my doubleshot espresso'
pos,'Thanks for the pointers to folks in Oz. I\'ll be making contact later this week. '
pos,'ooh, but the manti branch is too far and full of hacks '
pos,'i woke up at 2230, and plan on spending my entire night working on our SIP stack in C++ - i think that beats your sad '
pos,'Can not freaking sleep! sheesh! the little inspiration I needed, found out that people do listen to what I have to say.  www.FACETGIRL.com'
pos,'you\'re right. i agree. '
pos,'- good luck Ollie '
